ID,Address,Class,ClassName,CodeNum,CodeName,EmergencyRoom,Remark,Explanation,NearSubway,Name,Phone1,Phone2,EndTime(Mon),EndTime(Tue),EndTime(Wed),EndTime(Thu),EndTime(Fri),EndTime(Sat),EndTime(Sun),EndTime(Holiday),StartTime(Mon),StartTime(Tue),StartTime(Wed),StartTime(Thu),StartTime(Fri),StartTime(Sat),StartTime(Sun),StartTime(Holiday),Zipcode1,Zipcode2,Lat,Long,OperationTime,Safety
A1100008,서울특별시 성북구 고려대로 73 고려대병원 (안암동5가),A,종합병원,G001,권역응급의료센터,1,공휴일 예약 일반 진료.,건강검진센터 내과진료만 가능,지하철 6호선 안암역 하차 후 1번출구 도보 500m,(학)고려대학교의과대학부속병원(안암병원),1577-0083,02-920-5374,1730,1730,1730,1730,1730,1200,1230,1630,900,900,900,900,900,900,900,900,28,41,127.0264709,37.58715608,54:51.0,84
A1100011,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),A,종합병원,G006,지역응급의료센터,1,2015년 상급종합병원 취소,소아과 평일) 9-18시 토) 9-14시,샛강역 3번 출구,가톨릭대학교여의도성모병원,1661-7575,02-3779-1188,1700,1700,1700,1700,1700,1200,1600,2400,900,900,900,900,900,900,1000,0,73,45,126.9367313,37.51827234,54:51.0,84
A1121013,서울특별시 은평구 통일로 1021 (진관동),A,종합병원,G006,지역응급의료센터,1,2015년 상급종합병원 취소,소아과 평일) 9-18시 토) 9-14시,샛강역 3번 출구,가톨릭대학교은평성모병원,02-1811-7755,1811-7755,1700,1700,1700,1700,1700,1200,1600,2400,830,830,830,830,830,830,1000,0,33,12,126.9161505,37.63360841,54:51.0,89
A1100047,서울특별시 관악구 관악로 242 (봉천동),B,병원,G009,응급실운영신고기관,1,2019.2.21. 응급의료시설로 지정,점심시간 : 오후 1시-오후 2시 전화 예약 가능,서울대입구역 7번 출구 도보 5분,강남고려병원,1661-8267,02-874-7227,1800,1800,1800,1800,1800,1300,1400,1730,900,900,900,900,900,900,900,900,87,35,126.9567809,37.48561812,54:52.0,n/a
A1100076,서울특별시 관악구 남부순환로 1449 (신림동 서울본병원),B,병원,G009,응급실운영신고기관,1,호스피스O/집중치료실O,관악구 봉천동 187병상 투석 가능한 요양병원입니다.,2호선 신대방역/난곡사거리 인근,강남힐병원,02-853-4600,02-853-9100,1800,1800,1800,1800,1800,1300,1700,1300,900,900,900,900,900,900,1000,900,87,67,126.9117077,37.48158534,54:52.0,n/a
A1100043,서울특별시 강동구 동남로 892 (상일동),A,종합병원,G006,지역응급의료센터,1,수액처치/x-ray/혈액검사/심전도/내시경(위)/,강동가톨릭정형외과의원은 강동구 천호동 구천면로 233 2층에 자리하고 있으며 천호역 5번 출구에서 도보 12분 거리에 있습니다. 천호동성당 맞은 편이고 유명한 천호동 냉면골목 부근입니다. 강동가톨릭정형외과의원은 서울성모병원 정형외과 외래교수 출신인 정형외과 전문의 민형기 대표원장이 성심껏 진료합니다.,고덕역 4번 출구,강동경희대학교의대병원,02-440-7114,02-440-8282,1700,1700,1700,1700,1700,1200,1700,1300,900,900,900,900,900,900,1000,900,52,78,127.1575218,37.5534764,54:52.0,89
A1100006,서울특별시 종로구 새문안로 29 (평동),A,종합병원,G006,지역응급의료센터,1,수액처치/ 소아(8세이상)/ X-ray/ 혈액검사/ 위내시경 /초음파/ 인공신장실//,빠르게 치료하기보다 바르게 치료하는 강북보아스이비인후과 입니다. 이비인후과전문의 대표원장님(유럽수면학회 수면전문가 인증의)과 이비인후과전문의 2인이 협력하여  진료하고 있습니다 .(귀 코 목 진료 /수면다원검사/양압기처방/보청기/장애진단/갑상선 초음파/CT 촬영/수액치료 )-방문접수/인터넷접수,서대문역 4번 출구,강북삼성병원,02-2001-2001,02-2001-1009,1700,1700,1700,1700,1700,1230,1600,1600,830,830,830,830,830,830,1000,1000,31,81,126.9679381,37.56849763,54:52.0,85
A1121842,서울특별시 강북구 도봉로 187 지하1층 2층~5층 (미아동),B,병원,G009,응급실운영신고기관,1,신경외과(척추전문) 마취통증의하과 내과(내과는 평일만 진료),24시간 진료 정형외과 수술가능(골절 수지접합등),답십리사거리와 전농로타리 사이,강북으뜸병원,1522-1746,02-986-0334,2000,1800,1800,2000,1800,1300,1600,1500,900,900,900,900,900,900,1000,900,11,70,127.0261845,37.62542056,54:52.0,n/a
A1100002,서울특별시 광진구 능동로 120-1 (화양동),A,종합병원,G006,지역응급의료센터,1,교정/턱관절,건강제일의료소비자생활협동조합,건대입구역 34번 출구,건국대학교병원,1588-1533,02-2030-5555,1730,1730,1730,1730,1730,1200,1600,1300,900,900,900,900,900,900,1000,900,50,30,127.0721229,37.54084479,54:52.0,84
A1100039,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),A,종합병원,G007,지역응급의료기관,1,첫째 셋째 일요일 휴진,보건복지부 지정 추나요법 시범사업기관입니다. 침 한약 추나 면역약침등의 한의학적 치료방법을 이용하여 환자의 질병상태들 진단하고 치료합니다.,경찰병원역 12번 출구,경찰병원,02-3400-1114,02-3400-1300,1700,1700,1700,1700,1700,1300,1700,1300,900,900,900,900,900,900,1100,900,57,15,127.1234879,37.49641321,54:52.0,n/a
